Acronym,Term,Category
A&AS,Advisory & Assistance Service,General
A&G,Acquisitions & Grants,General
A&G,Administrative & General,General
A&R,Audit & Reimbursement,General
A-PT,ActionPhase Topic,General
A/P,Accounts Payable,General
A/R,Applicant and/or Recipient,General
A109,"OMB Circular ""Major Systems Acquisitions (ADP)""",General
A121,"OMB Circular ""Charge Back for ADP Services Provided to Multiple Users""",General
A130,"OMB Circular ""Management of Federal Information Resources""",General
A2HA,American Association of Hospital Accountants,General
A76,"OMB Circular ""Policies for Acquiring Commercial or Industrial Products or Services",General
AA,Associate Administrator,General
AAA,Agricultural Adjustment Administration,General
AAA,American Automobile Association,General
AABB,American Association of Blood Banks,General
AABH,Association for Ambulatory Behavioral Healthcare,General
AACN,American Association of Colleges of Nursing,General
AADA,Abbreviated Antibiotic Drug Application,General
AAF,Aplastic Anemia Foundation,General
AAFES,Army & Air Force Exchange Services,General
AAFP,American Academy of Family Physicians,General
AAGEG,Administrative Analysis Grade Evaluation Guide,General
AAI,Applications Alarms Infrastructure (GTE/MTS),General
AAMC,Association of American Medical Colleges,General
AAO,American Academy of Ophthalmology,General
AAP,American Academy of Pediatrics,General
AAPC,American Association of Professional Coders,General
AAPCC,Adjusted Average Per Capita Cost,General
AAPD,American Academy of Pediatric Dentistry,General
AAPHR,American Association of Physicians for Human Rights,General
AAPP,Affirmative Action Program Planning,General
AARG,Average Annual Rate of Growth,General
AARR,"Approval, Adjustment & Reject Response",General
AB,(BC/BSA's) Administrative Bulletin,General
ABA,American Banking Association,General
ABA,American Bar Association,General
ABEND,Abnormal Ending,General
ABENDAID,ABEND Analysis Software,General
ABG,Arterial Blood Gases,General
ABN,Advanced Beneficiary Notice,General
AC,Allowable Cost,General
ACC,American College of Cardiology,General
ACC,Automated Change Control,General
ACCT,Action Plan by Electronic Claims Transaction Institute,General
ACD,Audit Clearance Document,General
ACD,Automatic Cancellation Date,General
ACE,(Carrier) Automated Claims Examination,General
ACEI,Angiotensin Converting Enzyme Inhibitors,General
ACEP,American College of Emergency Physicians,General
ACERS,Annual Contractor Evaluation Reporting System,General
ACGIH,American Conference of Government Industrial Hygienists,General
ACH,Automated Clearing House,General
ACHE,American College of Healthcare Executives,General
ACIP,PHS Immunization Practice Advisory Committee,General
ACL,Access Control Lists,General
ACLI,American Council of Life Insurance,General
ACLU,American Civil Liberties Union,General
ACM,Association of Computing Machinery,General
ACMP,Audit/Civil Monetary Penalties,General
