Acronym,Term,Category
A2HA,American Association of Hospital Accountants,Health Care
AAA,American Automobile Association,Health Care
AABB,American Association of Blood Banks,Health Care
AABH,Association for Ambulatory Behavioral Healthcare,Health Care
AACN,American Association of Colleges of Nursing,Health Care
AACR,American Association for Cancer Research,Health Care
AADA,Abbreviated Antibiotic Drug Application,Health Care
AAF,Aplastic Anemia Foundation,Health Care
AAFES,Army & Air Force Exchange Services,Health Care
AAFP,American Academy of Family Physicians,Health Care
AAHA,American Association of Homes for the Aging,Health Care
AAHP,American Association of Health Plans,Health Care
AAHSA,American Association of Homes & Services for the Aging,Health Care
AAKP,American Association of Kidney Patients,Health Care
AAMC,Association of American Medical Colleges,Health Care
AAO,American Academy of Ophthalmology,Health Care
AAP,American Academy of Pediatrics,Health Care
AAPC,American Association of Professional Coders,Health Care
AAPCC,Adjusted Average Per Capita Cost,Health Care
AAPD,American Academy of Pediatric Dentistry,Health Care
AAPHR,American Association of Physicians for Human Rights,Health Care
AARP,American Association of Retired Persons,Health Care
ABD,"Aged, Blind & Disabled",Health Care
ABG,Arterial Blood Gases,Health Care
ABH,Association of Behavioral Healthcare,Health Care
ABN,Advanced Beneficiary Notice,Health Care
ABR,American Board of Radiology,Health Care
ABS,Annual Beneficiary Summary,Health Care
AC,Actual Charge,Health Care
ACA,Amputee Coalition of America,Health Care
ACC,American College of Cardiology,Health Care
ACEI,Angiotensin Converting Enzyme Inhibitors,Health Care
ACEP,American College of Emergency Physicians,Health Care
ACF,Administration for Children & Families,Health Care
ACGIH,American Conference of Government Industrial Hygienists,Health Care
ACHE,American College of Healthcare Executives,Health Care
ACOG,American College of Obstetricians & Gynecologists,Health Care
ACP,American College of Physicians,Health Care
ACPV,Average Cost per Visit,Health Care
ACR,Adjusted Community (Contract) Rate,Health Care
ACR,American College of Radiology,Health Care
ACRP,Adjusted Community Rate Proposal,Health Care
ACS,Accredited Standards Committee,Health Care
ACS,American Cancer Society,Health Care
ACS,American College of Surgeons,Health Care
ACSI,American Customer Satisfaction Index,Health Care
ACTG,AIDS Clinical Trials Group,Health Care
ACYF,"Administration on Children, Youth & Families",Health Care
AD,Admitting Diagnosis,Health Care
ADA,American Dental Association,Health Care
ADA,American Dietetic Association,Health Care
ADA,Americans with Disabilities Act of 1990,Health Care
ADAMHA,"Alcohol, Drug Abuse & Mental Health Administration",Health Care
ADAP,AIDS Drug Assistance Program,Health Care
ADC,Adult Day Care,Health Care
ADG,Ambulatory Diagnostic Group,Health Care
ADG-HOSDOM,Ambulatory Diagnostic Group Hospital Dominant,Health Care
ADHA,American Dental & Hygienists Association,Health Care
ADJ,Adjusted Claim,Health Care
ADL,Activities of Daily Living,Health Care
ADMC,Advance Determination of Medicare Coverage,Health Care
ADMS,"Alcohol, Drug Abuse & Mental Health Services",Health Care
ADP,(Medicaid) Alternative Disposition Plan,Health Care
ADP,Advance Planning Document,Health Care
ADR,Automated Desk Review,Health Care
ADT,Admission/Discharge Transfer,Health Care
AFDC,Aid to Families with Dependant Children (Title IV of the SS Act),Health Care
AFEHCT,American Federation of Electronic Health Care Transactions,Health Care
AFEHCT,Association for Electronic Health Care Transactions,Health Care
AFHHA,American Federation of Home Health Agencies,Health Care
AGPAM,American Guild of Patient Account Managers,Health Care
AHA,American Heart Association,Health Care
AHA,American Hospital Association,Health Care
AHCA,American Health Care Association,Health Care
AHFSA,Association of Health Facility Survey Agencies,Health Care
AHIMA,American Health Information Management Association,Health Care
AHP,Accountable Health Partnership,Health Care
AHP,Accountable Health Plan,Health Care
AHP,Alternative Health Plan,Health Care
AHPA,American Health Planning Association,Health Care
AHRQ,Agency for Healthcare Research & Quality,Health Care
AICC,Anti-Inhibitor Coagulant Complex,Health Care
AKF,American Kidney Fund,Health Care
ALBN,Amount of Last Billing Notice,Health Care
ALC,Alternate Level of Care,Health Care
ALFA,Assisted Living Federation of America,Health Care
ALOS,Average Length of Stay,Health Care
ALS,Advanced Life Support,Health Care
ALT,Average Length of Treatment,Health Care
AMA,American Medical Association,Health Care
AMCRA,American Medical Care & Review Association,Health Care
AMCS,Automated Medical Coding System,Health Care
AMHPS,Association of Minority Health Professional Schools,Health Care
AMI,acute myocardial infarction (heart attack),Health Care
AMIA,American Medical Informatics Association,Health Care
AMRA,American Medical Records Association,Health Care
AN,Account Number (also A/N),Health Care
ANA,Administration for Native Americans,Health Care
ANA,American Nurses Association,Health Care
ANCHR,Access to the NCH Repository (online query to 5% sample),Health Care
ANDA,Abbreviated New Drug Applications,Health Care
ANNA,American Nephrology Nurses Association,Health Care
ANSI X12 837,American National Standards Institute Health Data Committee X12 file format 837,Health Care
AOA,Administration on Aging,Health Care
AOA,American Optometric Association,Health Care
AOA,American Osteopathic Association,Health Care
AONE,American Organization of Nurse Executives,Health Care
AOPA,American Orthotic & Prosthetic Association,Health Care
APA,American Pharmaceutical Association,Health Care
APA,American Psychiatric Association,Health Care
APACHE,Acute Physiology & Chronic Health Evaluation,Health Care
APC,Ambulatory Payment Class,Health Care
APD,Advanced Planning Documents,Health Care
APG,Ambulatory Patient Group,Health Care
APG,Ambulatory Payment Group,Health Care
APHA,American Public Health Association,Health Care
APHP,Acute Partial Hospitalization Program,Health Care
APHP,Applied as Hospital Insurance Premiums,Health Care
APHSA,American Public Human Services Association,Health Care
APM,Admission Pattern Monitoring,Health Care
APMA,American Podiatric Medical Association,Health Care
APME,Advisory Panel on Medicare Education,Health Care
APR - DRG,all payer refined - diagnosis related groups,Health Care
APS,Acute Physiology Score,Health Care
APTD,Aid to the Permanently & Totally Disabled,Health Care
AQL,Acceptable Quality Level,Health Care
ARC,AIDS Related Complex,Health Care
ARC,American Red Cross,Health Care
AS,American Samoa,Health Care
ASC,Ambulatory Surgical/Surgery Center,Health Care
ASCO,American Society of Clinical Oncology,Health Care
ASCP,American Society of Consultant Pharmacists,Health Care
ASCPT,American Society of Clinical Pharmacology & Therapeutics,Health Care
ASH,Assistant Secretary for Health,Health Care
ASHP,American Society of Hospital Pharmacists,Health Care
ASHRM,American Society of Healthcare Risk Management,Health Care
ASIM,American Society of Internal Medicine,Health Care
ASMT,American Society for Medical Technologists,Health Care
ASO,Administrative Services Only,Health Care
ASTHO,Association of State & Territorial Health Offices,Health Care
ASTS,American Society of Transplant Surgeons,Health Care
ATRA,American Therapeutic Recreation Association,Health Care
ATSDR,Agency for Toxic Substances & Disease Registry (EPA),Health Care
AUSCT,Autologous Stem Cell Transplantation,Health Care
AVERT,AntiVirus Emergency Response Team (McAfee),Health Care
AVGS,Ambulatory Visit Groups,Health Care
AZT,Azidothymidine (AIDS drug therapy),Health Care
BA,Business Associate,Health Care
BAC,Beneficiary Advisory Committee,Health Care
BACOM,Beneficiary Annotation & Communication Operation,Health Care
BAR,Beneficiary Adjustment Report,Health Care
BATF,"Bureau of Alcohol, Tobacco & Firearms",Health Care
