Acronym,Term,Category
AACR,American Association for Cancer Research,Medicare Beneficiary
AAHA,American Association of Homes for the Aging,Medicare Beneficiary
AAHP,American Association of Health Plans,Medicare Beneficiary
AAHSA,American Association of Homes & Services for the Aging,Medicare Beneficiary
AAKP,American Association of Kidney Patients,Medicare Beneficiary
AARP,American Association of Retired Persons,Medicare Beneficiary
ABD,"Aged, Blind & Disabled",Medicare Beneficiary
ABH,Association of Behavioral Healthcare,Medicare Beneficiary
ABR,American Board of Radiology,Medicare Beneficiary
ABS,Annual Beneficiary Summary,Medicare Beneficiary
AC,Actual Charge,Medicare Beneficiary
ACA,Amputee Coalition of America,Medicare Beneficiary
ACF,Administration for Children & Families,Medicare Beneficiary
ACR,Adjusted Community (Contract) Rate,Medicare Beneficiary
ACRP,Adjusted Community Rate Proposal,Medicare Beneficiary
ACS,American Cancer Society,Medicare Beneficiary
ACSI,American Customer Satisfaction Index,Medicare Beneficiary
ACTG,AIDS Clinical Trials Group,Medicare Beneficiary
ACYF,"Administration on Children, Youth & Families",Medicare Beneficiary
ADA,Americans with Disabilities Act of 1990,Medicare Beneficiary
ADAP,AIDS Drug Assistance Program,Medicare Beneficiary
ADC,Adult Day Care,Medicare Beneficiary
ADL,Activities of Daily Living,Medicare Beneficiary
ADMS,"Alcohol, Drug Abuse & Mental Health Services",Medicare Beneficiary
ADP,(Medicaid) Alternative Disposition Plan,Medicare Beneficiary
ADP,Advance Planning Document,Medicare Beneficiary
ADT,Admission/Discharge Transfer,Medicare Beneficiary
AEP,Annual Coordinated Election Period,Medicare Beneficiary
AFDC,Aid to Families with Dependant Children (Title IV of the SS Act),Medicare Beneficiary
AHA,American Heart Association,Medicare Beneficiary
AHA,American Hospital Association,Medicare Beneficiary
AHRQ,Agency for Healthcare Research & Quality,Medicare Beneficiary
AHRQ,Agency for Healthcare Research and Quality,Medicare Beneficiary
AIC,Amount In Controversy,Medicare Beneficiary
AKF,American Kidney Fund,Medicare Beneficiary
ALOS,Average Length of Stay,Medicare Beneficiary
ALS,Advanced Life Support,Medicare Beneficiary
ALT,Average Length of Treatment,Medicare Beneficiary
AMA,American Medical Association,Medicare Beneficiary
AMCP,Academy of Managed Care Pharmacy,Medicare Beneficiary
ANA,Administration for Native Americans,Medicare Beneficiary
ANCI,American National Standards Institute,Medicare Beneficiary
AO,Accreditation Organization,Medicare Beneficiary
AOA,Administration on Aging,Medicare Beneficiary
APD,Advanced Planning Documents,Medicare Beneficiary
APTD,Aid to the Permanently & Totally Disabled,Medicare Beneficiary
AQL,Acceptable Quality Level,Medicare Beneficiary
ARC,American Red Cross,Medicare Beneficiary
ASAP,American Society of Automation in Pharmacy,Medicare Beneficiary
ASHP,American Society of Health Systems Pharmacists,Medicare Beneficiary
AWP,Average Wholesale Price,Medicare Beneficiary
BAC,Beneficiary Advisory Committee,Medicare Beneficiary
BBA,Balanced Budget Act,Medicare Beneficiary
BBA,Balanced Budget Act of 1997,Medicare Beneficiary
BBRA,Balanced Budget Refinement Act of 1999 (PL 106113),Medicare Beneficiary
